snapshot_date,store_id,product_sku,quantity_on_hand,reorder_point,_ingested_at
2026-03-17,FC001,FRS-MLK-001,177,30,2026-04-16 03:15:00
2026-03-17,FC001,FRS-YGT-002,137,30,2026-04-16 03:15:00
2026-03-17,FC001,FRS-CHD-003,115,30,2026-04-16 03:15:00
2026-03-17,FC001,FRS-BTR-004,113,30,2026-04-16 03:15:00
2026-03-17,FC001,BAK-BRD-001,119,30,2026-04-16 03:15:00
2026-03-17,FC001,BAK-CRS-002,134,30,2026-04-16 03:15:00
2026-03-17,FC001,BAK-SRD-003,120,30,2026-04-16 03:15:00
2026-03-17,FC001,BAK-BGL-004,133,30,2026-04-16 03:15:00
2026-03-17,FC001,PRD-BAN-001,179,30,2026-04-16 03:15:00
2026-03-17,FC001,PRD-TOM-002,166,30,2026-04-16 03:15:00
2026-03-17,FC001,PRD-BRC-003,195,30,2026-04-16 03:15:00
2026-03-17,FC001,PRD-APL-004,102,30,2026-04-16 03:15:00
2026-03-17,FC001,BEV-COL-001,133,30,2026-04-16 03:15:00
2026-03-17,FC001,BEV-OJU-002,147,30,2026-04-16 03:15:00
2026-03-17,FC001,BEV-WAT-003,135,30,2026-04-16 03:15:00
2026-03-17,FC001,BEV-BER-004,137,30,2026-04-16 03:15:00
2026-03-17,FC001,FRZ-PIZ-001,177,30,2026-04-16 03:15:00
2026-03-17,FC001,FRZ-ICE-002,184,30,2026-04-16 03:15:00
2026-03-17,FC001,FRZ-FRI-003,157,30,2026-04-16 03:15:00
2026-03-17,FC001,FRZ-PEA-004,142,30,2026-04-16 03:15:00
2026-03-17,FC001,SNK-CHP-001,161,30,2026-04-16 03:15:00
2026-03-17,FC001,SNK-CHC-002,172,30,2026-04-16 03:15:00
2026-03-17,FC001,SNK-BSC-003,172,30,2026-04-16 03:15:00
2026-03-17,FC001,SNK-NUT-004,119,30,2026-04-16 03:15:00
2026-03-17,FC002,FRS-MLK-001,123,30,2026-04-16 03:15:00
2026-03-17,FC002,FRS-YGT-002,126,30,2026-04-16 03:15:00
2026-03-17,FC002,FRS-CHD-003,120,30,2026-04-16 03:15:00
2026-03-17,FC002,FRS-BTR-004,144,30,2026-04-16 03:15:00
2026-03-17,FC002,BAK-BRD-001,135,30,2026-04-16 03:15:00
2026-03-17,FC002,BAK-CRS-002,143,30,2026-04-16 03:15:00
2026-03-17,FC002,BAK-SRD-003,183,30,2026-04-16 03:15:00
2026-03-17,FC002,BAK-BGL-004,137,30,2026-04-16 03:15:00
2026-03-17,FC002,PRD-BAN-001,156,30,2026-04-16 03:15:00
2026-03-17,FC002,PRD-TOM-002,194,30,2026-04-16 03:15:00
2026-03-17,FC002,PRD-BRC-003,176,30,2026-04-16 03:15:00
2026-03-17,FC002,PRD-APL-004,106,30,2026-04-16 03:15:00
2026-03-17,FC002,BEV-COL-001,163,30,2026-04-16 03:15:00
2026-03-17,FC002,BEV-OJU-002,122,30,2026-04-16 03:15:00
2026-03-17,FC002,BEV-WAT-003,185,30,2026-04-16 03:15:00
2026-03-17,FC002,BEV-BER-004,167,30,2026-04-16 03:15:00
2026-03-17,FC002,FRZ-PIZ-001,179,30,2026-04-16 03:15:00
2026-03-17,FC002,FRZ-ICE-002,165,30,2026-04-16 03:15:00
2026-03-17,FC002,FRZ-FRI-003,138,30,2026-04-16 03:15:00
2026-03-17,FC002,FRZ-PEA-004,102,30,2026-04-16 03:15:00
2026-03-17,FC002,SNK-CHP-001,162,30,2026-04-16 03:15:00
2026-03-17,FC002,SNK-CHC-002,151,30,2026-04-16 03:15:00
2026-03-17,FC002,SNK-BSC-003,159,30,2026-04-16 03:15:00
